 
 
 
 
#  id     pos         dens           U           pres       weightedn    weightedP    weightedU       A    hsmooth
  93   9.3000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  94   9.4000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  95   9.5000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  96   9.6000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  97   9.7000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  98   9.8000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  99   9.9000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 100   1.0000E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 101   1.0100E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 102   1.0200E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 103   1.0300E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 104   1.0400E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 105   1.0500E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
